City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,baltasi,56.3462,50.2062,13.07,79,5,2.15,RU,1726620206
113,mazagao,-0.115,-51.2894,26.37,80,51,3.79,BR,1726620206
114,tindouf,27.6711,-8.1474,26.25,36,100,8.23,DZ,1726620206
115,mozhga,56.4447,52.2276,14.71,65,80,1.96,RU,1726620206
116,qaqortoq,60.7167,-46.0333,3.9,80,24,1.65,GL,1726620206
117,stanley,54.868,-1.6985,8.01,92,0,0.0,GB,1726620207
118,newman,37.3138,-121.0208,25.02,48,99,1.79,US,1726620207
119,the bottom,17.6259,-63.2492,27.42,71,0,7.12,BQ,1726620207
120,puerto ayora,-0.7393,-90.3518,21.14,86,100,5.09,EC,1726620207
121,happy valley-goose bay,53.3168,-60.3315,17.17,72,20,2.57,CA,1726620207
122,guerrero negro,27.9769,-114.0611,19.68,64,0,9.58,MX,1726620207
123,puerto carreno,6.189,-67.4859,24.81,95,100,3.42,CO,1726620207
124,colonia,50.9333,6.95,15.54,86,92,1.35,DE,1726620207
125,katsuren-haebaru,26.3369,127.8719,29.21,90,75,11.32,JP,1726620207
126,micheweni,-4.9667,39.8333,24.09,82,10,4.49,TZ,1726620207
127,caluula,11.9661,50.7569,29.69,63,18,2.26,SO,1726620207
128,shepton mallet,51.1897,-2.5472,12.68,91,7,3.01,GB,1726620207
129,paide,58.8856,25.5572,12.6,93,48,1.39,EE,1726620207
130,nizhniy kuranakh,58.8353,125.4869,4.19,75,100,5.13,RU,1726620207
131,la mira,18.035,-102.3266,27.65,85,100,3.29,MX,1726620208
132,alofi,-19.0595,-169.9187,25.94,78,100,4.12,NU,1726620208
133,ribas do rio pardo,-20.4431,-53.7592,23.11,36,5,3.25,BR,1726620208
134,krasnokholm,51.5979,54.1567,7.33,56,0,3.76,RU,1726620208
135,saint-pierre,-21.3393,55.4781,19.82,73,75,1.54,RE,1726620208
136,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,87,75,1.0,RU,1726620208
137,kolonia town,6.964,158.206,32.06,62,75,3.09,FM,1726620208
138,taguatinga,-12.3857,-46.5711,31.9,19,100,3.72,BR,1726620208
139,prince rupert,54.3161,-130.3201,13.05,88,75,6.17,CA,1726620208
140,lethem,3.3803,-59.7968,27.77,63,66,2.08,GY,1726620208
141,argo,37.6333,22.7333,20.77,77,63,0.9,GR,1726620208
142,nelson bay,-32.7167,152.15,21.17,47,0,3.13,AU,1726620208
143,luganville,-15.5333,167.1667,23.82,71,100,4.85,VU,1726620208
144,cill airne,52.05,-9.5167,10.53,93,1,1.87,IE,1726620208
145,selfoss,63.9331,-20.9971,11.69,98,100,7.34,IS,1726620209
146,afaahiti,-17.75,-149.2833,24.33,85,100,4.93,PF,1726620209
147,tralee,52.2704,-9.7026,10.26,93,6,2.49,IE,1726620209
148,freetown,8.484,-13.2299,26.84,83,75,4.63,SL,1726620209
149,port saint john's,-31.6229,29.5448,19.2,85,100,3.97,ZA,1726620209
150,coari,-4.085,-63.1414,30.77,38,63,1.05,BR,1726620209
151,college,64.8569,-147.8028,12.26,66,75,4.12,US,1726620209
152,kapuskasing,49.4169,-82.4331,22.05,60,20,3.6,CA,1726620137
153,queenstown,-31.8976,26.8753,11.05,84,0,2.24,ZA,1726619934
154,sitka,57.0531,-135.33,14.94,67,100,6.17,US,1726620209
155,kreminna,49.0495,38.2179,17.79,35,100,6.23,UA,1726620209
156,pont rouge,48.8833,-72.0825,19.39,84,100,1.32,CA,1726620209
157,nambucca heads,-30.65,153.0,18.12,59,0,2.55,AU,1726620209
158,las heras,-46.5419,-68.9359,10.03,60,99,3.99,AR,1726620209
159,hadibu,12.65,54.0333,25.02,86,100,4.69,YE,1726620210
160,choibalsan,48.0667,114.5,12.11,51,0,5.68,MN,1726620210
161,undurkhaan,47.3194,110.6556,13.15,61,1,5.29,MN,1726620210
162,georgetown,5.4112,100.3354,28.96,92,40,2.68,MY,1726620210
163,wailua homesteads,22.0669,-159.378,29.44,71,20,6.69,US,1726620210
164,isafjordur,66.0755,-23.124,2.15,98,100,3.42,IS,1726620210
165,siwa oasis,29.2041,25.5195,28.02,38,0,4.12,EG,1726620210
166,hasaki,35.7333,140.8333,28.82,76,22,0.94,JP,1726620210
167,porto novo,6.4965,2.6036,25.9,92,100,3.14,BJ,1726620210
168,kerikeri,-35.2268,173.9474,14.28,60,59,5.05,NZ,1726620210
169,urumqi,43.801,87.6005,9.53,54,0,2.0,CN,1726620210
